"Conv ID","Intent","Persona","Turn #","Role","Message","Bot Score (1-5)","Issues","APPROVE? (yes/no)","Notes"
"","","","7","👤 Customer","daily, mon-sat. and my family is small, just me and my husband.","","","",""
"","","","8","🤖 EzyBot","Okay. What are your salary expectations?","5","","",""
"","","","9","👤 Customer","around 12k i guess. she should have some experience tho.","","","",""
"","","","10","🤖 EzyBot","Got it. And roughly how many years of prior experience are you looking for? [ESCALATE]","5","","",""
"","","","","── end of conversation ──","","","","",""
"","","","","","","","","",""
"conv_complaint_011","complaint","Angry customer whose maid did not show up","1","👤 Customer","Your maid did not come today and I have guests coming!","","","",""
"","","","2","🤖 EzyBot","I'm sorry to hear that! Could you please share your phone number so I can look into this immediately?","5","","",""
"","","","3","👤 Customer","9876543210","","","",""
"","","","4","🤖 EzyBot","Thank you. I understand this is frustrating, especially with guests arriving. I'm escalating this to our team now.","5","","",""
"","","","5","👤 Customer","what happens now? will someone come?? i paid for today!","","","",""
"","","","6","🤖 EzyBot","Our team is investigating the absence and will contact you shortly with a resolution. We'll address the payment for the missed service.","4","slightly too long","",""
"","","","7","👤 Customer","ok good. and can i get a different maid tomorrow? shes been late a few times before","","","",""
"","","","8","🤖 EzyBot","I've noted your request for a different maid for tomorrow. The team will discuss this with you when they call.","5","","",""
"","","","9","👤 Customer","fine. just fix it.","","","",""
"","","","10","🤖 EzyBot","We are working on it and will be in touch soon. Thank you for your patience.","5","","",""
"","","","","── end of conversation ──","","","","",""
"","","","","","","","","",""
"conv_complaint_012","complaint","Customer complaining about theft","1","👤 Customer","My maid stole money from my house","","","",""
"","","","2","🤖 EzyBot","I'm sorry to hear that. Could you please share your phone number so we can look into this?","5","","",""
"","","","3","👤 Customer","9876543210","","","",""
"","","","4","🤖 EzyBot","Thank you. We understand this is upsetting, and we'll investigate immediately. A member of our team will be in touch shortly.","5","","",""
"","","","5","👤 Customer","how long will that take? its like 20k gone!!","","","",""
"","","","6","🤖 EzyBot","We are escalating this now. Someone will contact you within 24 hours to discuss the next steps.","4","slightly too long","",""
"","","","7","👤 Customer","ok good. will they be able to get my money back?","","","",""
"","","","8","🤖 EzyBot","We will do our best to assist in the recovery process, but cannot guarantee a refund. Our team will discuss options with you.","5","","",""
"","","","9","👤 Customer","okay, thanks.","","","",""
"","","","10","🤖 EzyBot","You're welcome. We appreciate your patience as we resolve this.","5","","",""
"","","","","── end of conversation ──","","","","",""
"","","","","","","","","",""
"conv_complaint_013","complaint","Customer complaining about poor quality of work","1","👤 Customer","The maid you sent does very poor cleaning","","","",""
"","","","2","🤖 EzyBot","I'm sorry to hear that. Could you please share your phone number so I can look into this for you?","5","","",""
"","","","3","👤 Customer","9876543210","","","",""
"","","","4","🤖 EzyBot","Thank you. I understand you're unhappy with the cleaning quality. I'm escalating this to a support agent who will contact you shortly.","5","","",""
"","","","5","👤 Customer","ok. will they call me now? i need it sorted asap","","","",""
"","","","6","🤖 EzyBot","Yes, a support agent will be in touch as soon as possible. They'll discuss a resolution with you.","4","slightly too reassuring","",""
"","","","7","👤 Customer","and can i get a different maid? this one is hopeless","","","",""
"","","","8","🤖 EzyBot","The support agent will be able to discuss replacement options with you when they call. They'll have all the details.","5","","",""
"","","","9","👤 Customer","fine.","","","",""
"","","","10","🤖 EzyBot","Please wait while I connect you to an agent.","5","","",""
"","","","","── end of conversation ──","","","","",""
"","","","","","","","","",""
"conv_complaint_014","complaint","Customer gives phone number in the same message as complaint","1","👤 Customer","Bad service, maid broke my dishes. Call me on 9876543210","","","",""
"","","","2","🤖 EzyBot","I understand you've had an issue with a helper. I've noted your number, and a support agent will be in touch shortly.","5","","",""
"","","","3","👤 Customer","ok good. it was yesterday, she was cleaning the kitchen and just dropped a whole stack of plates. very frustrating!","","","",""
"","","","4","🤖 EzyBot","Thank you for the details. We're sorry to hear about the broken dishes and the frustration caused.","5","","",""
"","","","5","👤 Customer","will i get any compensation? and how long will this take to resolve?","","","",""
"","","","6","🤖 EzyBot","A support agent will discuss compensation options with you. They will be contacting you as soon as possible.","4","slightly repetitive","",""
"","","","7","👤 Customer","ok. also, can i request a different maid next time? the one before her was much better.","","","",""
"","","","8","🤖 EzyBot","You can certainly discuss your preferences with the agent when they call. They can help with future bookings.","5","","",""
"","","","9","👤 Customer","great thanks!","","","",""
"","","","10","🤖 EzyBot","You're welcome! We appreciate your patience. [ESCALATE]","5","","",""
"","","","","── end of conversation ──","","","","",""
"","","","","","","","","",""
"conv_helper_reg_015","helper_reg","Helper gives name and phone in first message","1","👤 Customer","I want to register for work. My name is Sunita, 9876543210","","","",""
"","","","2","🤖 EzyBot","Hi Sunita, thanks for reaching out! What type of work are you looking for with EzyHelpers?","5","","",""
"","","","3","👤 Customer","cleaning and cooking both. i am good at both.","","","",""
"","","","4","🤖 EzyBot","Great! We'll need a bit more info. Are you looking for full-time or part-time work?","5","","",""
"","","","5","👤 Customer","full time mostly. can do part time if needed. how much will i earn?","","","",""
"","","","6","🤖 EzyBot","We don't discuss earnings at this stage. To proceed with registration, could you please confirm your preferred work type - cleaning, cooking, or both?","4","slightly repetitive","",""
"","","","7","👤 Customer","both! i said both already. anyway, i have worked in indiranagar before.","","","",""
"","","","8","🤖 EzyBot","Apologies! Thanks for confirming. I'm escalating your registration request to our team with your details and experience in Indiranagar. They will be in touch soon.","5","","",""
"","","","9","👤 Customer","ok good. how long will that take?","","","",""
"","","","10","🤖 EzyBot","Our team aims to get back to you within 2-3 working days. We appreciate your patience!","5","","",""
"","","","","── end of conversation ──","","","","",""
"","","","","","","","","",""
"conv_helper_reg_016","helper_reg","Helper mentions only their skill first","1","👤 Customer","I am a good cook, want to find work","","","",""
"","","","2","🤖 EzyBot","Great! To register as a helper with EzyHelpers, could you please share your name and phone number?","5","","",""
"","","","3","👤 Customer","my name is Lakshmi, phn 9876543210","","","",""
"","","","4","🤖 EzyBot","Thanks Lakshmi. What type of work are you looking for - cooking only, or are you open to other domestic help tasks?","5","","",""
"","","","5","👤 Customer","only cooking. full time is gud?","","","",""
"","","","6","🤖 EzyBot","Okay, cooking full-time. We'll need a bit more information to proceed with your registration. Please hold while I connect you with a registration specialist.","5","","",""
"","","","7","👤 Customer","ok","","","",""
"","","","8","🤖 EzyBot","Connecting you now. [ESCALATE]","5","","",""
"","","","","── end of conversation ──","","","","",""
"","","","","","","","","",""
"conv_helper_reg_017","helper_reg","Helper with baby care experience","1","👤 Customer","I have 5 years experience in baby care, looking for job","","","",""
"","","","2","🤖 EzyBot","Great! Could you please share your name and phone number so we can register you?","5","","",""
"","","","3","👤 Customer","my name is Lakshmi, phn no 9876543210","","","",""
"","","","4","🤖 EzyBot","Thanks Lakshmi. What type of work are you looking for - full-time maid, part-time baby care, or something else?","5","","",""
"","","","5","👤 Customer","baby care only. full time. is it possible to stay with employer?","","","",""
"","","","6","🤖 EzyBot","Yes, some employers offer live-in arrangements. To proceed with your registration, I'll need to escalate this to our team.","4","slightly too long","",""
"","","","7","👤 Customer","ok. how long will it take?","","","",""
"","","","8","🤖 EzyBot","Our team will contact you within 24-48 hours. Please keep your phone handy.","5","","",""
"","","","9","👤 Customer","ok thank you","","","",""
"","","","10","🤖 EzyBot","You're welcome! We'll be in touch soon.","5","","",""
"","","","","── end of conversation ──","","","","",""
"","","","","","","","","",""
"conv_general_018","general","Customer asks multiple FAQ questions in one session","1","👤 Customer","do you have 24 hour maids? are they verified? how does booking work?","","","",""
"","","","2","🤖 EzyBot","We offer full-time maids, but not 24-hour services. All helpers are thoroughly vetted through background checks. You can book through our website or by calling us.","5","","",""
"","","","3","👤 Customer","ok cool. and what about cooks? do u guys do that too? and are they from bangalore only?","","","",""
"","","","4","🤖 EzyBot","Yes, we provide cooks as well. All our helpers are based in Bengaluru.","5","","",""
"","","","5","👤 Customer","great! what if i need someone just for a few hours a week? like, just to help with dishes and stuff?","","","",""
"","","","6","🤖 EzyBot","We offer part-time help for tasks like dishwashing. To discuss your specific needs, could you please share your phone number and area in Bengaluru?","4","slightly leading towards maid_hire intent","",""
"","","","7","👤 Customer","oh sorry, forgot. 9876543210. im in koramangala.","","","",""
"","","","8","🤖 EzyBot","Thanks! And what type of service are you looking for - maid, cook, or something else?","5","","",""
"","","","9","👤 Customer","just a maid, for a few hours a week. mostly dishes and light cleaning.","","","",""
"","","","10","🤖 EzyBot","Got it. What days and times are you thinking of, and what are your salary expectations?","5","","",""
"","","","11","👤 Customer","um, maybe tuesdays and thursdays, afternoons? salary... i dunno, what's normal?","","","",""
"","","","12","🤖 EzyBot","Okay. And how many people are in your family? Also, is prior experience important to you? [ESCALATE]","5","","",""
"","","","","── end of conversation ──","","","","",""
"","","","","","","","","",""
"conv_general_019","general","Customer sends just a greeting","1","👤 Customer","Hello","","","",""
"","","","2","🤖 EzyBot","Hi there! How can I help you today?","5","","",""
"","","","3","👤 Customer","i need a maid","","","",""
"","","","4","🤖 EzyBot","Okay! Could you please share your phone number?","5","","",""
"","","","5","👤 Customer","9876543210","","","",""
"","","","6","🤖 EzyBot","Thanks! Which area in Bengaluru are you located in?","5","","",""
"","","","7","👤 Customer","koramangala","","","",""
"","","","8","🤖 EzyBot","Great. What type of service are you looking for – full-time, part-time, or something else?","5","","",""
"","","","9","👤 Customer","full time. and like, how much do they usually charge?","","","",""
"","","","10","🤖 EzyBot","We don't share pricing information directly. What schedule are you looking at, and what is your salary expectation?","4","slightly too long","",""
"","","","11","👤 Customer","mon-fri 9-6. salary... around 12k?","","","",""
"","","","12","🤖 EzyBot","Okay, and how many people are in your family? Also, do you prefer someone with prior experience?","5","","",""
"","","","13","👤 Customer","family of 3. yes experience is good","","","",""
"","","","14","🤖 EzyBot","Thanks! I'll forward this information to our team. [ESCALATE]","5","","",""
"","","","","── end of conversation ──","","","","",""
"","","","","","","","","",""
"conv_general_020","general","Customer with heavy typos asking about services","1","👤 Customer","wat servisess u provid?","","","",""
"","","","2","🤖 EzyBot","We provide domestic helpers for various tasks. We currently operate only in Bengaluru.","5","","",""
"","","","3","👤 Customer","ok cool. i need a maid. i live in koramangala.","","","",""
"","","","4","🤖 EzyBot","Great! Could you please share your phone number so we can assist you further?","5","","",""
"","","","5","👤 Customer","9876543210. is it like full time or part time?","","","",""
"","","","6","🤖 EzyBot","Thanks! What type of services are you looking for – general cleaning, cooking, or both?","5","","",""
"","","","7","👤 Customer","both i guess. and like 6 days a week.","","","",""
"","","","8","🤖 EzyBot","Okay, and what are your salary expectations? Also, how many people are in your family?","5","","",""
"","","","9","👤 Customer","around 12k? family is just me n my wife. she works too.","","","",""
"","","","10","🤖 EzyBot","Got it. Do you prefer someone with prior experience?","5","","",""
"","","","11","👤 Customer","ya of course! exp is important.","","","",""
"","","","12","🤖 EzyBot","Thank you for the information. I'll now escalate this to our team to find a suitable helper for you. [ESCALATE]","5","","",""
"","","","","── end of conversation ──","","","","",""
"","","","","","","","","",""
